customer_message,expected_intent,expected_escalate,predicted_intent,predicted_escalate,response,similarity,response_quality,human_grounded,human_helpful,human_safe,human_overall,human_notes
"@AppleSupport the music player in the lock screen is fucked. #ios11update #iphone6s
@534833 We'd be happy help. Are you playing the music through the Apple Music app? Please DM us the exact version of iOS 11 you're using: https://t.co/GDrqU22YpT",account_access,no,technical_support,n,"@317223 Does it not show the currently playing track, or do the buttons to control it not respond?",0.777108907699585,good,4,3,4,4,
Make your Apple ID more secure and keep your personal information safe with two-factor authentication. Here's how it works. https://t.co/lcjIwpnciB,account_access,no,account_access,n,@427316 We'll get to the bottom of this together! What's the software version installed on your laptop? Please DM us to proceed. https://t.co/GDrqU22YpT,0.62691730260849,good,3,4,4,4,
"@AppleSupport my phone won't let me upgrade my billing information ..
@444065 We'd be happy to see how we can help. Are you trying to update your iTunes Store billing info, or something else like Apple Pay?",information_request,yes,billing,n,@301802 The iTunes Store team can help with payment details for your iTunes &amp; App Store account.,0.7634686827659607,good,3,3,3,3,
"Hey @AppleSupport stop automatically turning on my WiFi and Bluetooth every 10 minutes. Gah damn. I want that shit off bro
@822742 Let’s see what’s causing this. As a starting point, which device and operating system are you using?",connectivity,no,connectivity,n,@438926 We can shed some light on this issue. How are you going about turning off Bluetooth and Wi-Fi? Does this article help explain what is happening? https://t.co/G7BHuQnDS6,0.8472580313682556,good,4,3,3,3,
"@AppleSupport Just did recent update now my text replacement doesn’t work. What gives?
@173737 Let's see if we can get those working again. What type of device do you have? Which version did you just update?",product_issue,no,technical_support,y,@527112 Understood. Let's continue in DM. Send us a message and we'll follow up there. https://t.co/GDrqU22YpT,0.8368926048278809,good,4,4,4,4,
"Love when my alarm shuts off never goes off and phone shuts down on its own......@115858 expecting a brand new phone
@802213 We understand how much you rely on your iPhone and we're here to help. 

What version of iOS are you currently on? The latest is iOS 11.1.2. 

Additionally, if you create a brand new alarm does the issue persist?",technical_support,no,technical_support,n,"@545476 Let's move our conversation to a Direct Message where we can investigate further, and offer the most relevant next steps. https://t.co/GDrqU22YpT",0.6904156804084778,good,4,4,4,4,
"Hey @AppleSupport my music app keeps crashing when I open it and I’ve rebooted and everything 😭😭😭
@432110 We want to help. Which iOS device are you using?",technical_support,no,technical_support,n,@489837 We want you to be able to listen to your tunes. Does this happen when the app is open or when trying to open the Music app?,0.7953057289123535,good,3,2,3,3,
"@707262 And I️ was right because still have yet to go party rockin together &amp; never will!!!! But if you keep having cute babies then it’s totally acceptable &amp; I’ll get over I️t
@707261 Dude your phone.
@707262 I️ am switching to google Samsung if you guys don’t get your fucking shit together with this I️ situation @115858 @AppleSupport @115858
@707261 @115858 @AppleSupport I was a cooler 21 year old than tweeting a threat to apple. Just sayin.",account_access,no,other,n,@577826 Thanks for reaching out to us. We'd like to help you and look into this further. Please DM us to continue working on this. https://t.co/GDrqU22YpT,0.6029523611068726,good,4,4,4,4,
"@AppleSupport I’ve iPhone 7 Plus and after updating the latest iOS, voice is not hearable on very first attempt and need to make call again
@370628 We're happy to assist you with this. Do you notice any audio recording issues in Camera, or Voice Memos?
@AppleSupport No
@370628 Great! Have you tried any troubleshooting yet? Let's try a standard restart, here's how: https://t.co/OWRDHWSt4h",billing,no,technical_support,y,@334937 Are you using any cases on the device that may be hindering the sound? Have you tried and restarts or resets.,0.745753824710846,good,3,2,3,3,
"Why MY pictures in MY camera roll have to load? Pictures be blurry and shit. I️ be thinking my stuff came out trash but they buffering. @115858 fix it my G
@776603 Photos are an important part of our lives here at Apple and we want to ensure you're able to view your Photos without issue. To help guide us through troubleshooting, what iOS version is shown in Settings &gt; General &gt; About? Also, do you use iCloud Photo Library?",connectivity,no,technical_support,n,@523952 So we're on the same page. Are you meaning the built-in Photos app or are you meaning a third party application?,0.725631594657898,good,3,3,3,3,
