conversation_context,intent,escalate
"Hey @AppleSupport, Messages on my mac is no longer updating w/ the conversations on my iPhone. Help?
@176393 Let's take a closer look together. Have you already followed all the steps under 'SMS and MMS' here: https://t.co/jmMBIKU4bW",account_access,yes
"Yoooo why my phone just delete all my messages except one thread‼️‼️‼️‼️‼️ @115858  we gotta have a talk
@299768 @115858 Lmao which thread",connectivity,no
"Seeing an i️ whenever you type “i"" in iOS 11.1? 

Fix it by installing the latest software update.
https://t.co/NX7ObPTLvY",account_access,no
"@AppleSupport hey,  I been facing this issue since I updated from iOS 10.2 the notifications don’t show up, just a blank screen please fix https://t.co/BaLZq0VIha",account_access,yes
"My disdain for @115858 iOS continues to grow. Bad performance and now it keeps changing my time zone to Cupertino. This caused my alarm to be 3 hours late.  :( Also happening to other devices in house automatically.
@115858  https://t.co/wEXzYx5Jmk
@662875 Thanks for contacting us. We understand how important it is to have your device working the way you'd like. We're here to help you out. Let's meet in DM and work together on this. https://t.co/GDrqU22YpT",billing,no
"Updated my new iPhone X to iOS 11.1.2: the screen became completely unresponsive to touch 😢
Contacted @AppleSupport.
Reset to factory settings did not help.
They are going to call back. 🤞",delivery,no
"#AppleWatch helps you meet your fitness goals. 

Here's how to start a High Intensity Interval Training workout and set a goal. https://t.co/DZXZO1giU2",account_access,no
"Flight + AirPods + Breaker = pure enjoyment 🍉
But, what the hell happened to AirPods/Audio in ios11, so. many. bugs.
@296709 I'm having them randomly drop in the middle of calls, dropping after I hang up etc. @AppleSupport",technical_support,no
my phone is SO FUCKING LAGGY NOW. I hate when new iPhones come out omg. It’s not a conspiracy theory I swear @115858,connectivity,no
"@AppleSupport any updates coming out soon dealing with one of the iPhone speakers not working correctly?
@AppleSupport I currently have an iPhone 8
@764482 Thanks for reaching out! Let us help with your speaker. To start, what kind of issue are you having with the speaker and which speaker is having the issue? This article will explain where the two are located: https://t.co/U12xqgJWbP",technical_support,no
"iOS 11.0.03 is the worst I’ve ever seen. My battery literally went down 3% while typing this tweet.  Drops WiFi constantly @AppleSupport
@375125 @AppleSupport Never updating",cancellation,no
"Dear @115858: I already preordered my iPhone X and I’m just waiting for it to ship. Please stop draining the battery on my poor 6S. 

He’s just trying to do his best until the new Phone arrives. #youalreadyhavemymoney
@757609 Thank you for reaching out to us! We know how important it is to have your battery performing as expected, and we’ll do everything we can to help you out with this. Which version of iOS 11 have you updated to?",delivery,yes
"@AppleSupport is it possible to book an appointment at the Leeds store for a replacement charger on Monday?
@487010 We can help. On which device are you needing to replace the charger? Would you like for us to set that up for you?",technical_support,no
"@AppleSupport I always have my Bluetooth turned off but after iOS 11 it automatically turns on and turns my car stereo on everytime I start my car
@372233 Have you had a chance to review the article that was provided? Please let us know.
@AppleSupport Yes that’s why I am still asking about it
@372233 Is Bluetooth turned off in Settings or just the Control Center?",connectivity,yes
"@AppleSupport since upgrading to new iOS, I can’t seem to trash mail from banners.  It acts like it did, but mail is still in folder.
@443980 We're here for you. Does this only happen in the Apple Mail app? Does Mail have any other issues?",information_request,no
Make your Apple ID more secure and keep your personal information safe with two-factor authentication. Here's how it works. https://t.co/lcjIwpnciB,account_access,no
"@AppleSupport My Wife's iPhone 7 Cam is not working after updating to iOS 11.0.3. Is that a general problem with this update?
@310144 We'll be happy to look into what's going on. Is it the front and rear camera? Does it happen in multiple apps?",billing,no
"Pour ceux qui ont un #iPhone7 et qui ont #iOS11 , est-ce que vois avez ce bug qui fait que quand une app du doc se noirci comme ça, et qu'on fait rien, la page d'accueil et le bouton home ne répondent plus, et on ne peux plus ouvris d'app, même avec Siri. @AppleSupport @101553 https://t.co/nvv7W7ej9d",product_issue,no
"@AppleSupport my iPhone 8 plus isn’t downloading apps. It stays on the loading circle.. any suggestions?
@717036 We're happy to work on this with you. Which software version are you using? Also, do you experience this while connected to Wi-Fi and while using cellular data?",delivery,yes
As if I've lost £6.99 a month since APRIL to some shady past paper app I used for 4 days in college 😩 honestly just kill me now I'm done x,product_issue,no
"@AppleSupport my music app keeps crashing on my iphone 6S. can i get some help with this
@800704 Thanks for reaching out to us. We like to listen to music on our devices too, so we'd be happy to look into this with you. Can you tell us which version of software you're using and when this issue began? Also, are you an Apple Music member?
@AppleSupport yes i've been an apple music member for several years. i'm running version 10.2.1 and the issue started three days ago
@800704 The latest version of iOS is 11.1.2. Let's try updating iOS to resolve this. Please be sure to back up the device before updating. See: https://t.co/80YRnjDFDk https://t.co/GDrqU22YpT",delivery,no
"Last iOS update on #iPhone6 unallows you to unlock SIM card despite factory restore. An idea to fix that bug @AppleSupport? Thank you!
@273085 We'd be happy to take a look at this with you!  Just to confirm, are these the steps that you're following: https://t.co/LZJKkYipJN",delivery,no
"@AppleSupport @115948 why does my personal station keep playing song I expressly marked “dislike”? https://t.co/dh9CPZ6ObK
@206692 Let's look in to this together! Which device is this occurring on and which iOS, macOS or OS is installed? What is the song in question?",cancellation,no
"My music app won’t open and I can’t open it in the settings either, uh help? @115858
@266419 We'd like to help you get back to listening your music. Could you tell us which device you're using? Which system do you have installed?",account_access,yes
"@AppleSupport I am trying to reset my security questions and it is not allowing me to. I am now locked out of iMessage
@268714 For the best assistance with your Apple ID, and resetting your security questions, please reach out directly to our Apple ID Advisors here: https://t.co/UJm15vmMM2
@AppleSupport I have already done that and get the message ""not enough info to reset security questions"" I live in Ireland and can't call US
@268714 No worries, you can change the location of the support page by selecting the country currently listed at the bottom. From there you can follow the on screen questions to be paired with an Advisor that can further assist you in recovering your Apple ID!",billing,yes
"@AppleSupport Hi, after updating to iOS 11 the WiFi on my iPhone 7 keeps turning itself on, even after I turn it off again. Known issue?
@293645 Are you turning the Wi-Fi off from the Control Center? Let us know, we'd like to help.",delivery,yes
"@AppleSupport Hi. My Apple Music doesn’t have personalised playlist as advertised. How to fix it?
@217555 We can figure this out together. Playlist are created based on the music you like the most, have you liked any music?
@AppleSupport I have liked and disliked music. How much do I have to do?
@217555 What are you seeing when you navigate to Music &gt; Browse &gt; Playlist?",product_issue,yes
"Why does my phone die so fucking fast @115858 i need answers !!!
@672561 We'd like to look into your battery issue. What is your current iOS version? When did the issue begin?",cancellation,yes
"My phone has been tripping since it updated! @115858
@721039 What's going on with your iPhone? Let us know the details and we'll work with you to get things sorted.",connectivity,yes
"Hi @AppleSupport why does my Bluetooth keep turning itself on in iOS11.1.1, and how can I stop it?",technical_support,yes
"@AppleSupport my phone won't let me upgrade my billing information ..
@444065 We'd be happy to see how we can help. Are you trying to update your iTunes Store billing info, or something else like Apple Pay?",information_request,yes
"@AppleSupport Thank you but I think it’s bug. With all other sharing friends, any problem.
@447226 So this is happening with all friends you share activity progress with?
@AppleSupport No, just with one friend…
@447226 If your friend is having issues with sharing their activity, we'll be happy to help. Just have them reach out to us.",complaint,yes
💀I️ can’t watch any sports anymore every team I️ attach myself to catching Ls left &amp; right https://t.co/LxtUuUF8e5,account_access,no
"@115858 new iOS won't search files within dropbox when I do a basic search on my phone. also is auto-capitalizing stupid words like ""bad""
@294070 We can happily help look into this with you. Which iPhone do you have &amp; what version of iOS are you running?",billing,no
Like @115858 just BLEW tf outta me this shit for fucking irritating. Here I️ am writing a paragraph to my brother who is going through tough times and my shit just GLITCHED AND CLOSED OUT MY FUCKING MESSAGES AND DELETED EVERYTHING WTF IM SWITCHING TO ANDROID THIS DUMB ASS SHIT,delivery,no
"Help please... my iPhone screen has frozen, it will only let me unlock. I can't click on any apps? @115858
@662808 We certainly want to do everything possible to get this resolved for you. We would like to look into how we can assist. Let's start by confirming the version you're currently running. You can find that by going to Settings &gt; General &gt; About on your iPhone.",product_issue,no
"You can now add more controls to Control Center in iOS 11. Here's a guide. 
Learn more https://t.co/D5hw2gyots https://t.co/cpVyAGxQAg",cancellation,no
@AppleSupport all my photos just got deleted from my phone ):,connectivity,no
"@AppleSupport Is there a way to have emails marked as read not immediatley but rather after a few seconds? Thanks!
@326629 Are you referring to emails that you’ve read in the Mail app or something else? Which device and OS are you using?",technical_support,no
"@AppleSupport I may have missed this...but where did the podcast timer (countdown) go in the new iOS?
@373074 We'd be happy to help. Are you referring to the Sleep Timer in Podcasts?",information_request,no
"Ever since the new iPhones were released, my 6s has been glitching like crazy. I swear @115858 is somehow making older phones dud out when you update iOS software.
@793344 We'd like to help. Could you elaborate on the issues you've experienced?",product_issue,yes
"@AppleSupport I updated to ios 11 two weeks ago and since then i havent had service, please help
@556375 Thanks for reaching out again. Is this the same device we were chatting about some time back that had been dropped and repaired?
@AppleSupport no
@556375 In the upper left corner of the screen does it say No Service? Are you on iOS 11.0.3 or an earlier version?",cancellation,no
"@AppleSupport whenever I save an image with a transparent background it doesn’t stay transparent? It makes a white background itself.
@130035 We're here for you. What device are you using?",connectivity,yes
"@AppleSupport I got a new iPhone X and did a restore of backup from previous iPhone.

Text replacements did not come with the restore and have not synced to new iPhone X.

Is there a way get them to sync? (I have them on iPad and iMac)
@143491 Congratulations on your new iPhone X! We'd be happy to help. Did you restore using iCloud or iTunes? Are you signed in with the same Apple ID on all devices?
@AppleSupport Same Apple ID
@143491 Are both the iPad and iMac running the most current updates? For the iPad, we've released iOS 11.1.2 and the iMac should be running 10.13.1 to be up-to-date. Do you also have the same iCloud accounts on these devices?",account_access,no
"@115858 #iOS11 battery life is awful. Getting &lt;50% battery life vs previous. Pls fix!
@171610 Battery life is important, and we're here for you. To get started, which device are you experiencing this on?",technical_support,no
"Why MY pictures in MY camera roll have to load? Pictures be blurry and shit. I️ be thinking my stuff came out trash but they buffering. @115858 fix it my G
@776603 Photos are an important part of our lives here at Apple and we want to ensure you're able to view your Photos without issue. To help guide us through troubleshooting, what iOS version is shown in Settings &gt; General &gt; About? Also, do you use iCloud Photo Library?",connectivity,no
"@AppleSupport is it possible to walk in to an Apple store on 11/03 and enroll in the iPhone upgrade plan as a T-mobile customer on the spot?
@375327 For best assistance with our iPhone Upgrade Program please reach out to our Advisors here: https://t.co/8yjRd1Xo0i",information_request,no
"@AppleSupport Is this a bug? The page says this app has been updated 11 times in the last 10 minutes.
https://t.co/wbVO5bYMS1
@73023 We'd like to take a look into this. Send us a DM with more details, and we'll start there. https://t.co/GDrqU22YpT",delivery,no
"@AppleSupport why do all my photographs that I've deleted keep coming back with a cloud icon? Photostream is turned off!
@AppleSupport I've been deleting them more than twice now and now there's over 11000!! They turn up after appearing like this https://t.co/aPPIs7OPvC
@312178 We'd be happy to look into this with you. Can you provide us which iOS you're using? Do you use iCloud Photo Library?",account_access,no
"Idk who I want to fight more @ATT or @115858 😅😅 is either my phone continues to go on no service, bell or some other weird shit and only works under WiFi in another hand I️t Continues to act slow and freeze. 😅",connectivity,no
i want my gorillaz videos back on my phone damn how do i do that,cancellation,no
"@592239 It’s an iphone glitch. every time  I type the letter “I” it auto corrects to I️ ...it’s so weird
@592238 SOO weird aha https://t.co/xprw05ZJ6h
@592239 that’s what it looks like for me too!!! it’s so annoying
@592238 I actually thought it was the new emojis I couldn’t see because I haven’t done the update",account_access,no
"@AppleSupport ever since the new update my alarm snooze doesn’t work, if you hit it, it freezes, I hit snooze at 6:10..... https://t.co/13BW8zm2ZG
@388823 Alarms and snoozing are great features and we want to help. What iOS version is on the iPhone? And has this happened before?",technical_support,no
Dear @AppleSupport please add a “clear all” for “up next” in apple music,cancellation,no
"@AppleSupport  I can receive on my facetime - MacBook air. However if I try to vidcall the other person won't get my call. What can I do?
@127411 We're here for you. Check out this article for help with FaceTime: https://t.co/9TOn04wzxN
@AppleSupport Thank you for the reply. That Page was thé first thing I have double checked. I can connect with a contact. But that contact gets nothing..
@127411 Thanks for trying those steps. Is this happening with one contact, or all contacts? Have you restarted your MacBook Air?",product_issue,no
"@AppleSupport why do my calls not go through all the time? Sometimes it’ll ring once and hang up. They aren’t blocked and I updated
@468638 We'll do all we can to help. Is Voice Over LTE enabled?
@AppleSupport Yes voice and data lte are on
@468638 Great. You mentioned that you updated your device; are you running iOS 11.1 now?",connectivity,no
"Ok, @AppleSupport, you're officially losing a customer. My iPhone 6s is useless since the ios update. Battery is dead within a couple hours. Why does this happen every time you update ios? So sick of this. I now have a useless phone.",delivery,no
"Share your favorite music with the world or keep the hidden gems to yourself. You choose which of your Apple Music playlists get shared. https://t.co/QKrVxm50y0
@AppleSupport I just want to be able to make a podcast playlist *on* *my* *computer* and sync it to my phone. Like I used to, before your precious iOS 11.",cancellation,no
My phone is so fucked up man @AppleSupport wish I could have a new one 😫,technical_support,no
"DELETE THIS SHIT I️  &lt;— @AppleSupport
@240082 We've released an update which should fix this issue. To install this version, iOS 11.1.2, make sure to create a backup and update using the steps here: https://t.co/80YRnjVguS

Let us know if we can help with anything else!",account_access,no
"@115858 iPhone on #ios11 so slow, sometimes touch areas not working, virtually unusable.  Was going to do iPhoneX, but going2 android now :(
@753325 Let us help. Does this happen while using any specific app or feature on the device? Which version of iOS 11 are you running?
@AppleSupport Any app, IOS 11.0.3.
@753325 Do you have a recent backup of this device?",technical_support,no
"@AppleSupport Can you tell me how I can scan a document into notes, if I’ve already taken a picture of it, i.e. I want to use the image that’s already in my photo library. I can’t see a way to do this. Thanks!
@121038 Sure thing! We are glad to help! Could you let us know which iOS version you are running? The process has changed a little, and we want to make sure we’re giving you the best direction. You can find this info at Settings &gt; General &gt; About.",technical_support,no
"Updated your #iPad to iOS 11? Here's a look at the new Control Center and App Switcher.

Learn more: https://t.co/I8S8tdA4ZP https://t.co/enQf8rktyS
@AppleSupport Who's responsible for the data we lost!
When the iPhone stuck because of your iOS11 😡 

Even when we updated it to 11.1.1 it stuck again!! 

What can we do about that!!!
@725346 Hello. We want to help. Please tell us more about what you experienced with data loss when you updated your phone.",connectivity,no
"@115858 @AppleSupport Any help with this? Thanks in advance!!! https://t.co/kb4I1ZopdH
@479258 There's a few things we can do. Do you have a computer with iTunes installed, or a computer you can install iTunes on?  We can use that or another Wi-Fi network.
@AppleSupport Computer is operational at the moment and I’ve tried a different wifi network and still same result. Any other options?
@479258 Let's try connecting it to the computer and updating through iTunes. Let us know if you have any issues doing it that way.",account_access,no
"Hi @AppleSupport my iPhone 6s Plus battery doesn’t seem to hold its charge too well. Anything you can do to find out the problem?
@244392 Absolutely! We’ll be glad to see how we can help. To start, can you tell us the iOS version your iPhone is on?",product_issue,no
"Is this from you or a scam please @AppleSupport email is __email__ can send photo privately as got my email address on it. Thanks
@140829 We're here to help. That email address is not an official Apple email address meaning the email you received is not official Apple correspondence. Here is more information on phishing attempts and how to avoid them: https://t.co/LNMCdqt6fD",account_access,no
"@AppleSupport why can’t I type the word I.T today!!  Every time I try to type the word  this happens ! I.T. I.T.  ( the letters I then t)
@629072 Thank you for reaching out to us. Let’s work together to find the best course of action for this issue. To start, what device model and software version are you using?",technical_support,no
"Hey @123765 and @115858 why is Twitter app unusable on iOS without losing my podcast/music I’m alreaDy listening to? This only started today and it’s way annoying.
@143499 We'd like to know more to assist. Which iOS are you currently using? Also, we'd like to clarify do your podcasts and music stop playback when opening the Twitter app? Let us know the details and we'll continue.",billing,no
"every app on my phone crashes now 😒 @AppleSupport
@371429 This is not the experience we want you to have. Which iPhone model do you own?",technical_support,no
"Hey @AppleSupport my music app keeps crashing when I open it and I’ve rebooted and everything 😭😭😭
@432110 We want to help. Which iOS device are you using?",technical_support,no
"@AppleSupport I figured that. If I’m an Apple Music subscriber, is there a way I can purchase a single DRM-free song to use in a Photos slideshow?
@423103 Using iTunes Plus would make available songs that are DRM- Free. Follow the steps here: https://t.co/bkdNVKOsaw
@AppleSupport it looks like iTunes Plus requires an iTunes Match subscription though right? I only have Apple Music subscription
@423103 @AppleSupport Translation: you’re screwed. 

Also I’ve looked into it and Apple Music on the Mac stores files in FairPlay 2 DRM format. Need to buy song.",cancellation,no
