customer_message,expected_intent,expected_escalate,predicted_intent,predicted_escalate,response,similarity,response_quality
"Hey @AppleSupport, Messages on my mac is no longer updating w/ the conversations on my iPhone. Help?
@176393 Let's take a closer look together. Have you already followed all the steps under 'SMS and MMS' here: https://t.co/jmMBIKU4bW",account_access,yes,technical_support,n,"@302043 Have you tried updating through iTunes? If not, you can do so by following these steps: https://t.co/80YRnjDFDk",0.6528488397598267,good
"Yoooo why my phone just delete all my messages except one thread‼️‼️‼️‼️‼️ @115858  we gotta have a talk
@299768 @115858 Lmao which thread",connectivity,no,other,n,@271753 We understand the concern over your messages not showing up on the device. Let's take a look into this together. Send us a DM with the version of iOS you're currently on. The latest is iOS 11.1.2. https://t.co/GDrqU22YpT,0.7433531880378723,good
"Seeing an i️ whenever you type “i"" in iOS 11.1? 

Fix it by installing the latest software update.
https://t.co/NX7ObPTLvY",account_access,no,technical_support,n,"@666107 iOS 11.1.1 was recently released and it includes a fix for autocorrect issues. Be sure to back up your device prior to updating, and let us know if the issue persists afterwards. How to back up: https://t.co/4f8hwT5to6",0.8404430150985718,good
"@AppleSupport hey,  I been facing this issue since I updated from iOS 10.2 the notifications don’t show up, just a blank screen please fix https://t.co/BaLZq0VIha",account_access,yes,technical_support,n,"@289239 We want to help! If you use 3D Touch on the (X) button, does it give you the option to ""Clear All Notifications""? https://t.co/GDrqU22YpT",0.7642912268638611,good
"My disdain for @115858 iOS continues to grow. Bad performance and now it keeps changing my time zone to Cupertino. This caused my alarm to be 3 hours late.  :( Also happening to other devices in house automatically.
@115858  https://t.co/wEXzYx5Jmk
@662875 Thanks for contacting us. We understand how important it is to have your device working the way you'd like. We're here to help you out. Let's meet in DM and work together on this. https://t.co/GDrqU22YpT",billing,no,technical_support,n,@586417 We'd like to help get it back to where you can enjoy it again. Is iOS 11.1 the version installed currently? https://t.co/GDrqU22YpT,0.6836744546890259,good
"Updated my new iPhone X to iOS 11.1.2: the screen became completely unresponsive to touch 😢
Contacted @AppleSupport.
Reset to factory settings did not help.
They are going to call back. 🤞",delivery,no,technical_support,n,"@406906 Yes, iOS 11.0.3. Have you had the chance to download and install this update yet? DM us back, we'll continue there. https://t.co/GDrqU22YpT",0.71414715051651,good
"#AppleWatch helps you meet your fitness goals. 

Here's how to start a High Intensity Interval Training workout and set a goal. https://t.co/DZXZO1giU2",account_access,no,information_request,n,@493582 Let's look into this together to make sure things are working correctly. Send us a DM to continue. https://t.co/GDrqU22YpT,0.7035585641860962,good
"Flight + AirPods + Breaker = pure enjoyment 🍉
But, what the hell happened to AirPods/Audio in ios11, so. many. bugs.
@296709 I'm having them randomly drop in the middle of calls, dropping after I hang up etc. @AppleSupport",technical_support,no,information_request,n,"@757615 Thanks for confirming. Please go ahead and DM us using the link below, we'll pick things up from there. https://t.co/GDrqU22YpT",0.6976091861724854,good
my phone is SO FUCKING LAGGY NOW. I hate when new iPhones come out omg. It’s not a conspiracy theory I swear @115858,connectivity,no,technical_support,n,@573383 We want to be sure your iPhone is functioning as you'd expect. We can help! DM us and we'll look into this with you. https://t.co/GDrqU22YpT,0.7350157499313354,good
"@AppleSupport any updates coming out soon dealing with one of the iPhone speakers not working correctly?
@AppleSupport I currently have an iPhone 8
@764482 Thanks for reaching out! Let us help with your speaker. To start, what kind of issue are you having with the speaker and which speaker is having the issue? This article will explain where the two are located: https://t.co/U12xqgJWbP",technical_support,no,technical_support,n,@770304 We'd love to help with any issue you're experiencing on your new iPhone X. Tell us more about what's happening. Which iOS version are you currently running in Settings &gt; General &gt; About &gt; Version?,0.8094679117202759,good
"iOS 11.0.03 is the worst I’ve ever seen. My battery literally went down 3% while typing this tweet.  Drops WiFi constantly @AppleSupport
@375125 @AppleSupport Never updating",cancellation,no,connectivity,n,@173768 We want to help. Send us a DM and we'll go from there. https://t.co/GDrqU22YpT,0.7728159427642822,good
"Dear @115858: I already preordered my iPhone X and I’m just waiting for it to ship. Please stop draining the battery on my poor 6S. 

He’s just trying to do his best until the new Phone arrives. #youalreadyhavemymoney
@757609 Thank you for reaching out to us! We know how important it is to have your battery performing as expected, and we’ll do everything we can to help you out with this. Which version of iOS 11 have you updated to?",delivery,yes,billing,n,"@325403 We understand how battery issues can impact you. Updates can uncover existing issues, we'd be happy to look over what's happening with your iPhone. Send us a DM and we'll continue there. https://t.co/GDrqU22YpT",0.7877623438835144,good
"@AppleSupport is it possible to book an appointment at the Leeds store for a replacement charger on Monday?
@487010 We can help. On which device are you needing to replace the charger? Would you like for us to set that up for you?",technical_support,no,billing,n,@483201 We'd be happy to look into this with you further. DM us using the link below to get started. https://t.co/GDrqU22YpT,0.661923885345459,good
"@AppleSupport I always have my Bluetooth turned off but after iOS 11 it automatically turns on and turns my car stereo on everytime I start my car
@372233 Have you had a chance to review the article that was provided? Please let us know.
@AppleSupport Yes that’s why I am still asking about it
@372233 Is Bluetooth turned off in Settings or just the Control Center?",connectivity,yes,other,n,@372233 Have you had a chance to review the article that was provided? Please let us know.,0.8883482813835144,good
"@AppleSupport since upgrading to new iOS, I can’t seem to trash mail from banners.  It acts like it did, but mail is still in folder.
@443980 We're here for you. Does this only happen in the Apple Mail app? Does Mail have any other issues?",information_request,no,other,n,@137196 Let's look into that further. Send us a DM and we'll go from there. https://t.co/GDrqU22YpT,0.7645550966262817,good
Make your Apple ID more secure and keep your personal information safe with two-factor authentication. Here's how it works. https://t.co/lcjIwpnciB,account_access,no,account_access,n,@427316 We'll get to the bottom of this together! What's the software version installed on your laptop? Please DM us to proceed. https://t.co/GDrqU22YpT,0.62691730260849,good
"@AppleSupport My Wife's iPhone 7 Cam is not working after updating to iOS 11.0.3. Is that a general problem with this update?
@310144 We'll be happy to look into what's going on. Is it the front and rear camera? Does it happen in multiple apps?",billing,no,technical_support,n,@374376 Thanks for reaching out to us. Have you tried these steps: https://t.co/r1DRfaFLIU Please let us know?,0.7761352062225342,good
"Pour ceux qui ont un #iPhone7 et qui ont #iOS11 , est-ce que vois avez ce bug qui fait que quand une app du doc se noirci comme ça, et qu'on fait rien, la page d'accueil et le bouton home ne répondent plus, et on ne peux plus ouvris d'app, même avec Siri. @AppleSupport @101553 https://t.co/nvv7W7ej9d",product_issue,no,technical_support,n,@433151 We offer support via Twitter in English. Contact us for help in your preferred language here: https://t.co/IBIY3vMgPj,0.6804385185241699,good
"@AppleSupport my iPhone 8 plus isn’t downloading apps. It stays on the loading circle.. any suggestions?
@717036 We're happy to work on this with you. Which software version are you using? Also, do you experience this while connected to Wi-Fi and while using cellular data?",delivery,yes,connectivity,n,@665342 We'll help out. You're not having issues with any other downloads? What iOS version is running on the iPhone 8?,0.7992954254150391,good
As if I've lost £6.99 a month since APRIL to some shady past paper app I used for 4 days in college 😩 honestly just kill me now I'm done x,product_issue,no,other,n,@121967 We'd like to help you with that by sharing this link: https://t.co/A5QhKRZhQQ You will want to report the issue here.,0.4900858402252197,acceptable
"@AppleSupport my music app keeps crashing on my iphone 6S. can i get some help with this
@800704 Thanks for reaching out to us. We like to listen to music on our devices too, so we'd be happy to look into this with you. Can you tell us which version of software you're using and when this issue began? Also, are you an Apple Music member?
@AppleSupport yes i've been an apple music member for several years. i'm running version 10.2.1 and the issue started three days ago
@800704 The latest version of iOS is 11.1.2. Let's try updating iOS to resolve this. Please be sure to back up the device before updating. See: https://t.co/80YRnjDFDk https://t.co/GDrqU22YpT",delivery,no,technical_support,n,@489837 We want you to be able to listen to your tunes. Does this happen when the app is open or when trying to open the Music app?,0.8039695024490356,good
"Last iOS update on #iPhone6 unallows you to unlock SIM card despite factory restore. An idea to fix that bug @AppleSupport? Thank you!
@273085 We'd be happy to take a look at this with you!  Just to confirm, are these the steps that you're following: https://t.co/LZJKkYipJN",delivery,no,technical_support,n,@299675 Were you able to test this issue on Wi-Fi? Which iOS version are you currently using?,0.6442582607269287,good
"@AppleSupport @115948 why does my personal station keep playing song I expressly marked “dislike”? https://t.co/dh9CPZ6ObK
@206692 Let's look in to this together! Which device is this occurring on and which iOS, macOS or OS is installed? What is the song in question?",cancellation,no,technical_support,n,@189289 We're always looking to improve and welcome your feedback about this function here:  https://t.co/4JfgcXp6jr,0.6472266912460327,good
"My music app won’t open and I can’t open it in the settings either, uh help? @115858
@266419 We'd like to help you get back to listening your music. Could you tell us which device you're using? Which system do you have installed?",account_access,yes,technical_support,n,"@231613 To clarify, does it quit right away or does nothing happen at all when you tap on it? Also, have you tried restarting your iPhone and trying again?",0.7631903290748596,good
"@AppleSupport I am trying to reset my security questions and it is not allowing me to. I am now locked out of iMessage
@268714 For the best assistance with your Apple ID, and resetting your security questions, please reach out directly to our Apple ID Advisors here: https://t.co/UJm15vmMM2
@AppleSupport I have already done that and get the message ""not enough info to reset security questions"" I live in Ireland and can't call US
@268714 No worries, you can change the location of the support page by selecting the country currently listed at the bottom. From there you can follow the on screen questions to be paired with an Advisor that can further assist you in recovering your Apple ID!",billing,yes,account_access,n,"@268714 No worries, you can change the location of the support page by selecting the country currently listed at the bottom. From there you can follow the on screen questions to be paired with an Advisor that can further assist you in recovering your Apple ID!",0.7868804931640625,good
"@AppleSupport Hi, after updating to iOS 11 the WiFi on my iPhone 7 keeps turning itself on, even after I turn it off again. Known issue?
@293645 Are you turning the Wi-Fi off from the Control Center? Let us know, we'd like to help.",delivery,yes,connectivity,y,"@211263 Thanks for those details. When you turn Wi-Fi off, is that being done in the Control Center, or in Settings?",0.8173372745513916,good
"@AppleSupport Hi. My Apple Music doesn’t have personalised playlist as advertised. How to fix it?
@217555 We can figure this out together. Playlist are created based on the music you like the most, have you liked any music?
@AppleSupport I have liked and disliked music. How much do I have to do?
@217555 What are you seeing when you navigate to Music &gt; Browse &gt; Playlist?",product_issue,yes,information_request,n,@140208 Did this issue begin today? Do you receive any type of error message when trying to add songs?,0.7011440396308899,good
"Why does my phone die so fucking fast @115858 i need answers !!!
@672561 We'd like to look into your battery issue. What is your current iOS version? When did the issue begin?",cancellation,yes,technical_support,n,@592800 We'd like to help out with the concerns mentioned. Can you let us know the device model we are working with? Send us a DM. https://t.co/GDrqU22YpT,0.7307073473930359,good
"My phone has been tripping since it updated! @115858
@721039 What's going on with your iPhone? Let us know the details and we'll work with you to get things sorted.",connectivity,yes,technical_support,n,@537039 We'd be happy to look this over with you. Please meet us in DM so we may gather information and better assist. https://t.co/GDrqU22YpT,0.7702157497406006,good
"Hi @AppleSupport why does my Bluetooth keep turning itself on in iOS11.1.1, and how can I stop it?",technical_support,yes,information_request,n,@466535 We'd like to help.  Do you turn Bluetooth off using the Control Center or in the Settings app?,0.80458003282547,good
"@AppleSupport my phone won't let me upgrade my billing information ..
@444065 We'd be happy to see how we can help. Are you trying to update your iTunes Store billing info, or something else like Apple Pay?",information_request,yes,billing,n,@301802 The iTunes Store team can help with payment details for your iTunes &amp; App Store account.,0.7634686827659607,good
"@AppleSupport Thank you but I think it’s bug. With all other sharing friends, any problem.
@447226 So this is happening with all friends you share activity progress with?
@AppleSupport No, just with one friend…
@447226 If your friend is having issues with sharing their activity, we'll be happy to help. Just have them reach out to us.",complaint,yes,other,n,@447226 So this is happening with all friends you share activity progress with?,0.7915411591529846,good
💀I️ can’t watch any sports anymore every team I️ attach myself to catching Ls left &amp; right https://t.co/LxtUuUF8e5,account_access,no,other,n,@217276 Got it. Let's move to DM where we can dig in a bit more deeply. https://t.co/GDrqU22YpT,0.41561955213546753,acceptable
